,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"Jun 25, 2021","4,274.45","4,286.12","4,271.16","4,280.70","4,280.70","7,341,450,000"
1,"Jun 24, 2021","4,256.97","4,271.28","4,256.97","4,266.49","4,266.49","3,816,660,000"
2,"Jun 23, 2021","4,249.27","4,256.60","4,241.43","4,241.84","4,241.84","3,730,350,000"
3,"Jun 22, 2021","4,224.61","4,255.84","4,217.27","4,246.44","4,246.44","3,828,390,000"
4,"Jun 21, 2021","4,173.40","4,226.24","4,173.40","4,224.79","4,224.79","4,128,950,000"
5,"Jun 18, 2021","4,204.78","4,204.78","4,164.40","4,166.45","4,166.45","6,817,010,000"
6,"Jun 17, 2021","4,220.37","4,232.29","4,196.05","4,221.86","4,221.86","5,312,680,000"
7,"Jun 16, 2021","4,248.87","4,251.89","4,202.45","4,223.70","4,223.70","4,538,350,000"
8,"Jun 15, 2021","4,255.28","4,257.16","4,238.35","4,246.59","4,246.59","4,048,940,000"
9,"Jun 14, 2021","4,248.31","4,255.59","4,234.07","4,255.15","4,255.15","4,151,200,000"
10,"Jun 11, 2021","4,242.90","4,248.38","4,232.25","4,247.44","4,247.44","3,815,010,000"
11,"Jun 10, 2021","4,228.56","4,249.74","4,220.34","4,239.18","4,239.18","4,408,210,000"
12,"Jun 09, 2021","4,232.99","4,237.09","4,218.74","4,219.55","4,219.55","4,713,260,000"
13,"Jun 08, 2021","4,233.81","4,236.74","4,208.41","4,227.26","4,227.26","4,659,620,000"
14,"Jun 07, 2021","4,229.34","4,232.34","4,215.66","4,226.52","4,226.52","4,476,920,000"
15,"Jun 04, 2021","4,206.05","4,233.45","4,206.05","4,229.89","4,229.89","4,139,790,000"
16,"Jun 03, 2021","4,191.43","4,204.39","4,167.93","4,192.85","4,192.85","5,587,970,000"
17,"Jun 02, 2021","4,206.82","4,217.37","4,198.27","4,208.12","4,208.12","5,833,670,000"
18,"Jun 01, 2021","4,216.52","4,234.12","4,197.59","4,202.04","4,202.04","5,074,670,000"
